
time 00h 19m 40s, episodes 944, frames 232000, mean epr 1.24, run loss 0.50
time 00h 19m 46s, episodes 948, frames 233000, mean epr 1.23, run loss 0.02
time 00h 19m 51s, episodes 953, frames 234000, mean epr 1.29, run loss 0.54
time 00h 19m 56s, episodes 955, frames 235000, mean epr 1.30, run loss 0.29
time 00h 20m 01s, episodes 959, frames 236000, mean epr 1.34, run loss 0.57
time 00h 20m 05s, episodes 963, frames 237000, mean epr 1.34, run loss 0.47
time 00h 20m 06s, episodes 963, frames 237000, mean epr 1.34, run loss 0.47
time 00h 20m 11s, episodes 968, frames 238000, mean epr 1.35, run loss 0.78
time 00h 20m 15s, episodes 974, frames 239000, mean epr 1.36, run loss 1.06
time 00h 20m 21s, episodes 977, frames 240000, mean epr 1.32, run loss 0.73
time 00h 20m 26s, episodes 980, frames 241000, mean epr 1.31, run loss 0.40
time 00h 20m 31s, episodes 981, frames 242000, mean epr 1.29, run loss 0.26
time 00h 20m 36s, episodes 988, frames 243000, mean epr 1.29, run loss 0.46
time 00h 20m 41s, episodes 996, frames 244000, mean epr 1.28, run loss 0.42
time 00h 20m 46s, episodes 999, frames 245000, mean epr 1.30, run loss 1.01
time 00h 20m 51s, episodes 1000, frames 246000, mean epr 1.29, run loss 0.87
time 00h 20m 57s, episodes 1002, frames 247000, mean epr 1.28, run loss 0.88
time 00h 21m 01s, episodes 1006, frames 248000, mean epr 1.25, run loss 0.39
time 00h 21m 06s, episodes 1016, frames 249000, mean epr 1.27, run loss 0.65
time 00h 21m 11s, episodes 1019, frames 250000, mean epr 1.30, run loss 0.86
time 00h 21m 16s, episodes 1019, frames 251000, mean epr 1.30, run loss 0.86
time 00h 21m 21s, episodes 1021, frames 252000, mean epr 1.33, run loss 1.18
time 00h 21m 27s, episodes 1026, frames 253000, mean epr 1.32, run loss 0.87
time 00h 21m 32s, episodes 1029, frames 254000, mean epr 1.31, run loss 0.69
time 00h 21m 37s, episodes 1035, frames 255000, mean epr 1.36, run loss 1.09
time 00h 21m 42s, episodes 1037, frames 256000, mean epr 1.41, run loss 1.39
time 00h 21m 47s, episodes 1042, frames 257000, mean epr 1.43, run loss 1.48
time 00h 21m 52s, episodes 1044, frames 258000, mean epr 1.40, run loss 1.09
time 00h 21m 57s, episodes 1048, frames 259000, mean epr 1.43, run loss 1.04
time 00h 21m 56s, episodes 1048, frames 259000, mean epr 1.43, run loss 1.04
time 00h 22m 02s, episodes 1055, frames 260000, mean epr 1.47, run loss 1.27
time 00h 22m 07s, episodes 1058, frames 261000, mean epr 1.45, run loss 1.16
time 00h 22m 12s, episodes 1063, frames 262000, mean epr 1.42, run loss 0.66
time 00h 22m 17s, episodes 1066, frames 263000, mean epr 1.40, run loss 0.47
time 00h 22m 22s, episodes 1072, frames 264000, mean epr 1.43, run loss 0.81
time 00h 22m 27s, episodes 1075, frames 265000, mean epr 1.40, run loss 0.44
time 00h 22m 32s, episodes 1081, frames 266000, mean epr 1.39, run loss 0.31
time 00h 22m 37s, episodes 1083, frames 267000, mean epr 1.39, run loss 0.18
time 00h 22m 42s, episodes 1086, frames 268000, mean epr 1.38, run loss 0.10
time 00h 22m 48s, episodes 1090, frames 269000, mean epr 1.36, run loss -0.21
time 00h 22m 52s, episodes 1094, frames 270000, mean epr 1.38, run loss 0.38
time 00h 22m 58s, episodes 1098, frames 271000, mean epr 1.42, run loss 0.65
time 00h 23m 03s, episodes 1099, frames 272000, mean epr 1.41, run loss 0.59
time 00h 23m 09s, episodes 1105, frames 273000, mean epr 1.45, run loss 0.78
time 00h 23m 15s, episodes 1112, frames 274000, mean epr 1.44, run loss 0.37
time 00h 23m 19s, episodes 1116, frames 275000, mean epr 1.42, run loss 0.08
time 00h 23m 25s, episodes 1120, frames 276000, mean epr 1.42, run loss 0.09
time 00h 23m 29s, episodes 1125, frames 277000, mean epr 1.37, run loss -0.03
time 00h 23m 34s, episodes 1130, frames 278000, mean epr 1.32, run loss -0.20
time 00h 23m 39s, episodes 1134, frames 279000, mean epr 1.33, run loss -0.26
time 00h 23m 44s, episodes 1138, frames 280000, mean epr 1.32, run loss -0.24
time 00h 23m 50s, episodes 1140, frames 281000, mean epr 1.34, run loss 0.54
time 00h 23m 55s, episodes 1145, frames 282000, mean epr 1.33, run loss 0.55
time 00h 23m 59s, episodes 1151, frames 283000, mean epr 1.32, run loss 0.29
time 00h 24m 04s, episodes 1156, frames 284000, mean epr 1.29, run loss -0.04
time 00h 24m 09s, episodes 1159, frames 285000, mean epr 1.29, run loss -0.02
time 00h 24m 14s, episodes 1163, frames 286000, mean epr 1.31, run loss 0.16
time 00h 24m 19s, episodes 1166, frames 287000, mean epr 1.29, run loss -0.14
time 00h 24m 25s, episodes 1170, frames 288000, mean epr 1.30, run loss -0.10
time 00h 24m 29s, episodes 1175, frames 289000, mean epr 1.29, run loss -0.15
time 00h 24m 35s, episodes 1179, frames 290000, mean epr 1.30, run loss -0.16
