time, episodes, frames, mean-epr, run-loss
01h-13m-18s, 10789, 3650000, 8.43, -5.06
01h-13m-31s, 10809, 3660000, 8.57, -4.98
00h-00m-11s, 10813, 3510000, 0.13, -0.70
00h-00m-24s, 10833, 3520000, 1.35, -1.75
00h-00m-35s, 10848, 3530000, 2.39, -1.21
00h-00m-48s, 10864, 3540000, 3.27, -2.39
00h-00m-48s, 10864, 3540000, 3.27, -2.39
00h-01m-01s, 10883, 3550000, 4.44, -2.63
00h-01m-13s, 10899, 3560000, 5.02, -3.29
00h-01m-25s, 10919, 3570000, 5.50, -4.12
00h-01m-37s, 10937, 3580000, 6.00, -4.27
00h-01m-50s, 10951, 3590000, 6.33, -5.18
00h-02m-01s, 10970, 3600000, 6.81, -5.06
00h-02m-14s, 10987, 3610000, 7.05, -5.45
00h-02m-27s, 11005, 3620000, 7.35, -5.44
00h-02m-38s, 11021, 3630000, 7.72, -5.21
00h-02m-50s, 11041, 3640000, 7.88, -5.14
00h-03m-02s, 11056, 3650000, 7.80, -5.56
00h-03m-14s, 11077, 3660000, 7.91, -5.07
00h-03m-28s, 11091, 3670000, 7.85, -5.37
00h-03m-39s, 11110, 3680000, 7.94, -5.41
00h-03m-52s, 11132, 3690000, 7.86, -5.65
00h-04m-03s, 11147, 3700000, 7.88, -5.71
00h-04m-16s, 11164, 3710000, 8.06, -5.33
00h-04m-27s, 11182, 3720000, 8.08, -5.02
00h-04m-40s, 11194, 3730000, 8.27, -5.49
00h-04m-52s, 11215, 3740000, 8.56, -4.59
00h-05m-04s, 11228, 3750000, 8.66, -5.23
00h-05m-16s, 11246, 3760000, 8.70, -5.96
00h-05m-29s, 11262, 3770000, 8.92, -5.67
00h-05m-41s, 11277, 3780000, 8.87, -5.88
00h-05m-53s, 11298, 3790000, 8.90, -5.72
00h-06m-06s, 11316, 3800000, 8.69, -6.43
00h-06m-18s, 11334, 3810000, 8.55, -6.02
00h-06m-30s, 11348, 3820000, 8.45, -6.46
00h-06m-42s, 11363, 3830000, 8.90, -5.43
00h-06m-54s, 11382, 3840000, 9.05, -5.82
00h-07m-07s, 11395, 3850000, 9.16, -5.93
00h-07m-19s, 11415, 3860000, 9.00, -5.76
00h-07m-31s, 11431, 3870000, 9.00, -5.29
00h-07m-43s, 11444, 3880000, 9.08, -5.27
00h-07m-55s, 11464, 3890000, 9.00, -5.55
00h-08m-08s, 11481, 3900000, 9.15, -5.52
00h-08m-20s, 11492, 3910000, 9.10, -5.60
00h-08m-33s, 11512, 3920000, 9.37, -5.46
00h-08m-45s, 11527, 3930000, 9.08, -6.72
00h-08m-58s, 11546, 3940000, 9.09, -6.53
00h-09m-10s, 11564, 3950000, 9.04, -5.92
00h-09m-22s, 11580, 3960000, 8.96, -6.03
00h-09m-34s, 11594, 3970000, 9.03, -6.07
00h-09m-47s, 11612, 3980000, 8.83, -6.93
00h-09m-59s, 11625, 3990000, 9.06, -6.10
00h-10m-11s, 11646, 4000000, 9.21, -5.76
00h-10m-24s, 11660, 4010000, 9.25, -6.00
00h-10m-36s, 11676, 4020000, 9.50, -6.00
00h-10m-47s, 11692, 4030000, 9.54, -5.83
00h-11m-01s, 11709, 4040000, 9.53, -5.78
00h-11m-13s, 11724, 4050000, 9.72, -5.36
00h-11m-26s, 11742, 4060000, 9.79, -6.00
00h-11m-39s, 11758, 4070000, 9.75, -5.93
00h-11m-50s, 11773, 4080000, 9.68, -7.17
00h-12m-03s, 11787, 4090000, 10.00, -6.60
00h-12m-15s, 11806, 4100000, 10.03, -6.08
00h-12m-28s, 11822, 4110000, 9.94, -5.91
00h-12m-39s, 11836, 4120000, 9.59, -6.07
00h-12m-52s, 11855, 4130000, 9.72, -5.74
00h-13m-04s, 11868, 4140000, 9.62, -5.83
00h-13m-17s, 11885, 4150000, 9.67, -5.62
00h-13m-29s, 11899, 4160000, 9.74, -5.22
00h-13m-41s, 11916, 4170000, 9.88, -5.37
00h-13m-52s, 11931, 4180000, 9.91, -5.84
00h-14m-05s, 11948, 4190000, 9.93, -5.60
00h-14m-17s, 11959, 4200000, 10.14, -5.32
00h-14m-29s, 11977, 4210000, 10.20, -6.05
00h-14m-42s, 11990, 4220000, 10.34, -5.09
00h-14m-54s, 12009, 4230000, 10.52, -5.64
